"Meadowlands.Leftpalm" "Delmore.Leftpalm" "Slades.Leftpalm" "Reacher.Leftpalm" "Charmark.Leftpalm" "Cedarhurst.Leftpalm" "Postscript.Leftpalm" "Pinrock.Leftpalm" "Salti.Leftpalm" "Larcridge.Leftpalm" "Devenwood.Leftpalm" "Vinedale.Leftpalm" "Gibbon.Leftpalm" "Misty.Leftpalm" "Witch.Leftpalm" "Edenfield.Leftpalm" "Westbora.Leftpalm" "Pasho.Leftpalm" "Trafford.Leftpalm" "Northwind.Leftpalm" "Claudett.Leftpalm" "Bjorkland.Leftpalm" "January.Leftpalm" "Cornstalk.Leftpalm" "Willowbe.Leftpalm" "Elmira.Leftpalm" "Woodfin.Leftpalm" "Starratt.Leftpalm" "Overton.Leftpalm" "Patmos.Leftpalm" "Netta.Leftpalm" "Buckinghan.Leftpalm" "Innitou.Leftpalm" "Bulls.Leftpalm" "Foothill.Leftpalm" "Caravel.Leftpalm" "Bows.Leftpalm" "Hallets.Leftpalm" "Janis.Leftpalm" "Shadyside.Leftpalm" "Burne.Leftpalm" "Wilbraview.Leftpalm" "Watoguadoc.Leftpalm"
"s__alaskensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"s__albidocapillata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0
"s__alcaligenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alkalitolerans" 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2
"s__aminovorans" 1.58496250072116 0 3.8073549220576 0 3 4.24792751344359 3.58496250072116 0 4 0 0 0 3.16992500144231 1 0 0 2.58496250072116 3 0 5.8073549220576 0 0 0 0 3.16992500144231 0 1 0 3.16992500144231 0 0 0 0 0 3 2.8073549220576 3.70043971814109 0 8.22881869049588 4.64385618977472 0 3.58496250072116 0
"s__amylolyticus" 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amylovorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__anaerobius" 0 0 0 0 0 0 0 1 0 0 0 4.08746284125034 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__andropogonis" 0 1 0 1 0 2.32192809488736 1.58496250072116 1 0 1 1 2.58496250072116 2.32192809488736 2.32192809488736 2 1 1 1 0 0 0 2 1.58496250072116 0 1 1.58496250072116 0 0 1.58496250072116 1 0 1 1 0 0 2 1.58496250072116 2 2.32192809488736 1.58496250072116 1 0 0
"s__anginosus" 3.16992500144231 0 0 0 2.58496250072116 4.08746284125034 2.8073549220576 0 4.4594316186373 0 0 3.8073549220576 2 2.32192809488736 0 0 0 2.8073549220576 2 2.8073549220576 1 0 0 1 0 0 0 0 3.8073549220576 0 3.32192809488736 1 0 0 0 0 2 0 1 0 0 0 0
"s__animalis" 4.64385618977472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aquatilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__arupense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__arvensicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"s__asini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aureum" 0 0 0 0 2.32192809488736 2.58496250072116 2.32192809488736 0 3.32192809488736 0 0 7.24792751344359 3.90689059560852 0 0 2 0 1 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 2.32192809488736 0 0 0
"s__aureus" 1 3 2.8073549220576 2.58496250072116 1 2 0 1.58496250072116 3 1 0 2 2 0 0 4.39231742277876 1 2.58496250072116 1 1.58496250072116 3 3.8073549220576 0 0 0 1.58496250072116 1.58496250072116 0 2.8073549220576 0 3.4594316186373 0 2 1.58496250072116 1.58496250072116 0 3.4594316186373 0 2 0 1 0 0
"s__aurum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__autotrophicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bacteriovorus" 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__balearica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__barengoltzii" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bifida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"s__bifidum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__biforme" 0 0 0 0 0 4.75488750216347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__biprosthecium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bispora" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__boronitolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bowmanii" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__brevis" 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bryantii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bryophila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__C21_c20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caccae" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caeni" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__campisalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__canimorsus" 0 0 0 0 0 0 0 0 3.58496250072116 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cateniformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__catus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cecorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__celatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__celer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cellulosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chitinolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chondroitinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cinerea" 1.58496250072116 2 1.58496250072116 1 1.58496250072116 5.08746284125034 2.32192809488736 4.4594316186373 4 0 1.58496250072116 2 2 1.58496250072116 2.32192809488736 1.58496250072116 1 4.32192809488736 4.16992500144231 2 1 3 0 4 0 0 1.58496250072116 3.16992500144231 2 1 5.20945336562895 2.8073549220576 2.32192809488736 2 1 4.24792751344359 0 1 1 1.58496250072116 1 0 1
"s__citronellolis" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__clausii" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coagulans" 0 0 0 0 0 2.32192809488736 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coleohominis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__copri" 2.58496250072116 2.32192809488736 1 2.32192809488736 1 8.63662462054365 1.58496250072116 1 5.35755200461808 0 0 7.58496250072116 2 1 7.03342300153745 2.32192809488736 0 1 4 1.58496250072116 1.58496250072116 3 1.58496250072116 0 2 2.32192809488736 4.85798099512757 4.16992500144231 4.70043971814109 0 1.58496250072116 0 4 2 1 2 0 0 4.08746284125034 1 1.58496250072116 6.14974711950468 1.58496250072116
"s__cosmopolitanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryaerophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryoconitis" 2.58496250072116 0 0 0 0 3.58496250072116 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__curvus" 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delafieldii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delbrueckii" 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dentocariosa" 5.4594316186373 7.38370429247405 7.8703647195834 1 2.58496250072116 7.75488750216347 4.39231742277876 0 5.49185309632967 7.6724253419715 4.16992500144231 2.58496250072116 4.70043971814109 4.39231742277876 1 6.10852445677817 0 8.04984854945056 3.58496250072116 2.58496250072116 2 4.4594316186373 3.58496250072116 1 3.58496250072116 1.58496250072116 5.16992500144231 1.58496250072116 2.58496250072116 4.4594316186373 4.75488750216347 0 0 3.4594316186373 0 3.58496250072116 3.58496250072116 1 4.52356195605701 3.16992500144231 2.8073549220576 0 1.58496250072116
"s__diminuta" 0 0 0 3.70043971814109 0 0 0 0 2.58496250072116 0 0 1.58496250072116 0 0 0 0 3.70043971814109 0 5.16992500144231 0 0 0 3.70043971814109 0 0 0 2 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 2 0 0
"s__dispar" 5.52356195605701 5.20945336562895 5.12928301694497 5.4594316186373 4 7.56224242422107 6.20945336562895 3.90689059560852 8.83605035505807 4 3.4594316186373 7.76155123244448 4.39231742277876 5.04439411935845 7.38370429247405 7.17990909001493 3.4594316186373 6.61470984411521 10.1124395067816 6.16992500144231 3.90689059560852 4.95419631038687 5.52356195605701 4.24792751344359 2.32192809488736 4.8073549220576 4.08746284125034 6.52356195605701 5.24792751344359 2 6.53915881110803 0 5.64385618977472 0 3.16992500144231 6.68650052718322 5.12928301694497 4.4594316186373 3.4594316186373 5.08746284125034 1.58496250072116 2.58496250072116 3.8073549220576
"s__dispersa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__distasonis" 0 1 1 0 0 3.4594316186373 0 0 0 0 0 2.8073549220576 0 0 1.58496250072116 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.58496250072116 1 0 0 2 0
"s__doebereinerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dolichum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__durum" 3.32192809488736 1.58496250072116 7.4262647547021 4.70043971814109 0 5.4262647547021 4.8073549220576 1 3.58496250072116 0 0 4.24792751344359 0 0 0 5.52356195605701 0 6.65821148275179 4.16992500144231 2.58496250072116 3.4594316186373 3.70043971814109 3.32192809488736 2.58496250072116 2.58496250072116 0 3.4594316186373 3.32192809488736 3.70043971814109 4.85798099512757 1 2.32192809488736 3.4594316186373 1 0 0 0 0 4.52356195605701 0 1 0 0
"s__echinoides" 0 0 0 2 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"s__effusa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__eggerthii" 0 0 0 1 0 0 0 0 2.32192809488736 0 0 0 0 1 0 0 0 0 3.16992500144231 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0
"s__eikelboomii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"s__elegans" 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__elkanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1 0 0 0 0
"s__endodontalis" 0 0 4.08746284125034 3 0 4.08746284125034 0 3.16992500144231 0 3.32192809488736 0 0 0 0 0 1 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0
"s__endophyticus" 0 0 0 0 0 2 0 0 1.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8073549220576 2 0 0 0
"s__enterica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"s__epidermidis" 2 2 3.32192809488736 2.58496250072116 1 1.58496250072116 2.32192809488736 2.58496250072116 3.58496250072116 1 0 0 1.58496250072116 0 1.58496250072116 4.39231742277876 1 3 1.58496250072116 1.58496250072116 3.58496250072116 2.32192809488736 2 0 1 0 1 1.58496250072116 3 0 3 0 1 1 0 0 3.70043971814109 0 1 0 0 0 0
"s__equi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__equorum" 1 1 0 1.58496250072116 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0
"s__europaeus" 0 0 0 0 0 0 0 0 2.32192809488736 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__exhalans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecis" 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecium" 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0
"s__fascians" 0 0 2.8073549220576 1.58496250072116 0 0 2 0 3 0 0 0 2 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 2.8073549220576 3.32192809488736 3.32192809488736 0 0 0 0 0 1 0 0 0 0 0 0 2.32192809488736 0 0
"s__firmus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fischeri" 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__flavefaciens" 0 1 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.39231742277876 0 0 0 0 0
"s__flexus" 1 1.58496250072116 1 1.58496250072116 0 0 1 0 2 0 0 0 1.58496250072116 1 0 1.58496250072116 0 4 1.58496250072116 1 1.58496250072116 1.58496250072116 1 0 0 0 0 0 2 3.4594316186373 1.58496250072116 0 1 0 0 0 3 0 1 0 0 0 0
"s__formigenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fragi" 1.58496250072116 0 3 1 1 5.83289001416474 4.64385618977472 0 5.64385618977472 1.58496250072116 2.58496250072116 7.49185309632967 4.32192809488736 1 0 2.58496250072116 1 6.6724253419715 4.16992500144231 0 1.58496250072116 4.32192809488736 1 0 0 2.32192809488736 3.8073549220576 2.32192809488736 9.53332973230583 0 0 0 1 3.16992500144231 0 0 2.8073549220576 0 1 2.8073549220576 3 0 2.58496250072116
"s__fragilis" 0 1 0 1 0 2 0 0 0 0 1 3.8073549220576 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1.58496250072116 0 0 0 0 2.8073549220576 0
"s__fulvum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gargensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__garvieae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gelatinosus" 0 0 0 2 0 2 1 2.58496250072116 1.58496250072116 0 0 1.58496250072116 2 4.4594316186373 3.32192809488736 1.58496250072116 2.32192809488736 1 1 2 1 0 2 1.58496250072116 1 1.58496250072116 2 0 2.58496250072116 1.58496250072116 1 0 1 1 0 3.16992500144231 1.58496250072116 1 2 1 1 1 0
"s__genomosp." 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__genosp." 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 0 0 3.32192809488736 0 0 0 0 0 0 0 0
"s__geothermalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gibsonii" 0 0 0 0 0 0 0 0 0 0 0 0 0 4.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ginsengihumi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
