"SRS024163.SRX019635" "SRS013502.SRX019635" "SRS024163.SRX019636" "SRS024400.SRX019636" "SRS023617.SRX019636" "SRS016455.SRX019681" "SRS020245.SRX019636" "SRS017776.SRX019639" "SRS024580.SRX019639" "SRS049286.SRX019681" "SRS018145.SRX019682" "SRS020425.SRX019682" "SRS045710.SRX019685" "SRS024466.SRX019684" "SRS018439.SRX019684" "SRS018262.SRX019687" "SRS017076.SRX019687" "SRS023557.SRX019686" "SRS016596.SRX019686" "SRS018501.SRX019687" "SRS024106.SRX019686" "SRS017349.SRX019687" "SRS017833.SRX019686" "SRS022105.SRX019690" "SRS016648.SRX019691" "SRS018325.SRX019691" "SRS013705.SRX019690" "SRS017008.SRX019691" "SRS023926.SRX019690" "SRS017947.SRX019690" "SRS013460.SRX019696" "SRS013650.SRX019690" "SRS024277.SRX019696" "SRS013460.SRX019692" "SRS024220.SRX019696" "SRS022621.SRX019696" "SRS014426.SRX020560" "SRS014861.SRX020558" "SRS051551.SRX020558" "SRS016269.SRX020535" "SRS055123.SRX020535" "SRS015966.SRX020535" "SRS019757.SRX020535" "SRS015669.SRX020573" "SRS015621.SRX020573" "SRS015514.SRX020573" "SRS016154.SRX020573" "SRS016225.SRX020522" "SRS019894.SRX020522" "SRS019247.SRX020522" "SRS018591.SRX020522" "SRS016117.SRX020522" "SRS015917.SRX020510" "SRS015821.SRX020562" "SRS019095.SRX020564" "SRS019111.SRX020564" "SRS011419.SRX020666" "SRS011657.SRX020666" "SRS011409.SRX020666" "SRS011419.SRX020669" "SRS011275.SRX020669" "SRS011456.SRX020669" "SRS011624.SRX020669" "SRS011161.SRX020669" "SRS014426.SRX020551" "SRS050362.SRX020551" "SRS014271.SRX020551" "SRS047219.SRX020551" "SRS014128.SRX020555" "SRS014560.SRX020555" "SRS045258.SRX020531" "SRS019661.SRX020576" "SRS055574.SRX020576" "SRS049389.SRX020576" "SRS057461.SRX020665" "SRS044092.SRX020665" "SRS045858.SRX020665" "SRS052245.SRX020514" "SRS051657.SRX020514" "SRS062544.SRX020528" "SRS065278.SRX020528" "SRS048396.SRX020514" "SRS043642.SRX020514" "SRS044314.SRX020533" "SRS063501.SRX020579" "SRS063850.SRX020579" "SRS063651.SRX020579" "SRS056834.SRX020518" "SRS042533.SRX020518" "SRS052787.SRX020558" "SRS011657.SRX020669" "SRS011409.SRX020669" "SRS018791.SRX020576" "SRS045931.SRX020542" "SRS045466.SRX020563" "SRS021922.SRX020679" "SRS021553.SRX020679" "SRS022936.SRX020679" "SRS023059.SRX020680" "SRS020188.SRX020680" "SRS022492.SRX020680" "SRS047650.SRX020681" "SRS047650.SRX020683" "SRS045211.SRX020684" "SRS057792.SRX020685" "SRS056223.SRX020685" "SRS043014.SRX020685" "SRS058824.SRX020685" "SRS046134.SRX020686" "SRS050075.SRX020686" "SRS046361.SRX020686" "SRS052157.SRX020686" "SRS065558.SRX020689" "SRS064540.SRX020689" "SRS062955.SRX020689" "SRS014907.SRX020555" "SRS047034.SRX020665" "SRS044879.SRX020514" "SRS045007.SRX020533" "SRS065164.SRX020528" "SRS063125.SRX020528" "SRS015021.SRX020535" "SRS044038.SRX021470" "SRS065017.SRX022222" "SRS063984.SRX022222" "SRS023314.SRX022223" "SRS023377.SRX022223" "SRS022810.SRX022223" "SRS022870.SRX022226" "SRS056576.SRX022227" "SRS021121.SRX022230" "SRS021077.SRX022230" "SRS021676.SRX022235" "SRS021802.SRX022235" "SRS042606.SRX022242" "SRS021187.SRX022239" "SRS020938.SRX022239" "SRS021736.SRX022231" "SRS022045.SRX022231" "X700014578.V35.241766" "X700015133.V35.241755" "X700014803.V35.241722" "X700015430.V35.241712" "X700015640.V35.241767" "X700014802.V35.241722" "X700016627.V35.241837" "X700033456.V35.241795" "SRS015917.SRX020520" "SRS019095.SRX020545" "SRS024040.SRX019681" "SRS011484.SRX020660" "SRS046027.SRX020518" "SRS013555.SRX020681" "SRS023983.SRX019681" "SRS022366.SRX022226" "SRS020767.SRX022235" "X700015721.V35.241804" "SRS022681.SRX022226" "SRS020710.SRX022239" "SRS021253.SRX022239" "SRS057009.SRX022222" "SRS050694.SRX022227" "SRS022237.SRX022231" "SRS016928.SRX019681" "SRS011275.SRX020666" "SRS014138.SRX020557" "SRS024694.SRX021470" "SRS052621.SRX022222" "SRS050206.SRX022227" "SRS020484.SRX022230" "SRS022171.SRX022231" "SRS013189.SRX019681" "SRS044226.SRX021470"
"s__aurimucosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__biforme" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__boronitolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bromii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__caccae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__callidus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cecorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cinerea" 2.32192809488736 4.4594316186373 2.32192809488736 0 0 0 0 3 1.58496250072116 0 0 0 1.58496250072116 2 2.58496250072116 3.58496250072116 0 0 1 1 2.58496250072116 0 1 2.8073549220576 0 0 0 2.58496250072116 1.58496250072116 2.58496250072116 1.58496250072116 2.32192809488736 0 0 0 2.58496250072116 1.58496250072116 4.08746284125034 4.39231742277876 1.58496250072116 3.58496250072116 1 2.58496250072116 4.4594316186373 4 1.58496250072116 1 5.49185309632967 1 2 1.58496250072116 4.24792751344359 1 2.8073549220576 1 2.58496250072116 0 1 0 0 1 0 0 0 2 4.16992500144231 3.70043971814109 0 0 1 2.58496250072116 1 4.52356195605701 3.70043971814109 2.58496250072116 1 3.8073549220576 4.16992500144231 3 3.58496250072116 3 0 0 0 4.85798099512757 0 3 3.4594316186373 2.8073549220576 4.32192809488736 2 0 0 2.32192809488736 4.08746284125034 1 2.58496250072116 2.8073549220576 0 2.32192809488736 0 2.32192809488736 3.70043971814109 0 3 1.58496250072116 3 0 0 2.32192809488736 0 3.32192809488736 0 1 2 2 0 1 0 3.8073549220576 4.4594316186373 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 2.32192809488736 0 2 2 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"s__copri" 2.8073549220576 0 2.32192809488736 1 2 0 1.58496250072116 0 1.58496250072116 0 0 2 1.58496250072116 0 2.58496250072116 2 1.58496250072116 0 0 1 0 4.90689059560852 2 0 2.32192809488736 0 2.8073549220576 0 2.58496250072116 0 1.58496250072116 3.32192809488736 5.04439411935845 0 1 1 0 4.8073549220576 3.70043971814109 3.32192809488736 2.58496250072116 3.16992500144231 1 1.58496250072116 2 0 4.85798099512757 2.8073549220576 2.8073549220576 5.61470984411521 2.8073549220576 2.8073549220576 2 4.4594316186373 0 1 1 0 0 2.58496250072116 1 4.16992500144231 0 3.8073549220576 0 2.32192809488736 5.8073549220576 3.8073549220576 0 2.8073549220576 5.24792751344359 0 2.58496250072116 0 0 2 1 2 1 4.08746284125034 3.16992500144231 3.90689059560852 5.32192809488736 1 0 2.58496250072116 4.16992500144231 5.61470984411521 2.32192809488736 5.52356195605701 0 1 2.32192809488736 0 6.97727992349992 1.58496250072116 0 2.58496250072116 0 1 0 3 4.64385618977472 3.32192809488736 0 0 0 2 2.32192809488736 0 0 2.32192809488736 0 1.58496250072116 1 1 5 4.4594316186373 0 1.58496250072116 4.24792751344359 3 0 0 0 0 3.58496250072116 0 2.58496250072116 0 0 0 0 0 0 0 3 1.58496250072116 0 0 3.58496250072116 1 4.58496250072116 2 0 6.39231742277876 0 2.32192809488736 0 0 2 0 2.8073549220576 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1.58496250072116 0 0 3.90689059560852 0 1
"s__coprophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delbrueckii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dentocariosa" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1.58496250072116 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1.58496250072116 0 1 0 0 0 0 0 0 0 1 1.58496250072116 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"s__depolymerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__diminuta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
