"SRS015568.SRX020535" "SRS018507.SRX019639" "SRS017782.SRX019639" "SRS013243.SRX019639" "SRS023989.SRX019681" "SRS013195.SRX019681" "SRS018151.SRX019682" "SRS052522.SRX019682" "SRS016352.SRX019682" "SRS016718.SRX019682" "SRS016934.SRX019681" "SRS017719.SRX019682" "SRS018445.SRX019684" "SRS023752.SRX019681" "SRS020008.SRX019683" "SRS017130.SRX019684" "SRS024349.SRX019684" "SRS024406.SRX019683" "SRS017659.SRX019683" "SRS020251.SRX019683" "SRS020308.SRX019684" "SRS017539.SRX019683" "SRS053096.SRX019685" "SRS016493.SRX019684" "SRS017839.SRX019686" "SRS016464.SRX019686" "SRS024112.SRX019686" "SRS024643.SRX019687" "SRS051483.SRX019691" "SRS023932.SRX019690" "SRS020368.SRX019691" "SRS018331.SRX019691" "SRS016657.SRX019691" "SRS017953.SRX019690" "SRS024226.SRX019692" "SRS023194.SRX019696" "SRS024226.SRX019696" "SRS013466.SRX019692" "SRS013466.SRX019696" "SRS023194.SRX019692" "SRS058175.SRX020198" "SRS048090.SRX020560" "SRS014277.SRX020560" "SRS014657.SRX020560" "SRS019572.SRX020560" "SRS014432.SRX020560" "SRS015876.SRX020558" "SRS014756.SRX020558" "SRS051123.SRX020558" "SRS015180.SRX020558" "SRS019763.SRX020535" "SRS051437.SRX020535" "SRS016275.SRX020535" "SRS015360.SRX020535" "SRS015027.SRX020535" "SRS015972.SRX020535" "SRS015714.SRX020573" "SRS015522.SRX020573" "SRS016066.SRX020573" "SRS015675.SRX020573" "SRS015627.SRX020573" "SRS019900.SRX020522" "SRS016123.SRX020522" "SRS016231.SRX020522" "SRS019253.SRX020522" "SRS016325.SRX020522" "SRS018745.SRX020522" "SRS018597.SRX020522" "SRS018991.SRX020510" "SRS015923.SRX020510" "SRS018991.SRX020520" "SRS015923.SRX020520" "SRS015827.SRX020562" "SRS015464.SRX020564" "SRS011563.SRX020660" "SRS011425.SRX020666" "SRS011663.SRX020666" "SRS011563.SRX020668" "SRS011663.SRX020669" "SRS011365.SRX020515" "SRS057813.SRX020551" "SRS014432.SRX020551" "SRS014657.SRX020551" "SRS019572.SRX020551" "SRS014277.SRX020551" "SRS048090.SRX020551" "SRS014599.SRX020555" "SRS014566.SRX020555" "SRS014315.SRX020555" "SRS014913.SRX020555" "SRS056751.SRX020531" "SRS055124.SRX020531" "SRS019667.SRX020576" "SRS014257.SRX020576" "SRS047414.SRX020576" "SRS049738.SRX020576" "SRS062777.SRX020665" "SRS050412.SRX020665" "SRS045226.SRX020665" "SRS065346.SRX020665" "SRS048228.SRX020665" "SRS055203.SRX020665" "SRS054559.SRX020563" "SRS047859.SRX020529" "SRS053142.SRX020533" "SRS049634.SRX020533" "SRS058603.SRX020533" "SRS048463.SRX020514" "SRS054376.SRX020514" "SRS062851.SRX020528" "SRS065223.SRX020528" "SRS049406.SRX020514" "SRS065584.SRX020528" "SRS053756.SRX020533" "SRS065607.SRX020528" "SRS048393.SRX020533" "SRS043730.SRX020533" "SRS062601.SRX020579" "SRS064082.SRX020579" "SRS063636.SRX020579" "SRS053901.SRX020518" "SRS064226.SRX020579" "SRS051224.SRX020518" "SRS049266.SRX020518" "SRS051758.SRX020518" "SRS049313.SRX020558" "SRS016008.SRX020573" "SRS014867.SRX020558" "SRS011539.SRX020668" "SRS056932.SRX020576" "SRS056529.SRX020665" "SRS064603.SRX020542" "SRS045277.SRX020563" "SRS021559.SRX020679" "SRS021928.SRX020679" "SRS022942.SRX020679" "SRS020137.SRX020680" "SRS023440.SRX020680" "SRS024529.SRX020680" "SRS023869.SRX020680" "SRS022432.SRX020680" "SRS023506.SRX020681" "SRS057073.SRX020681" "SRS047054.SRX020681" "SRS013780.SRX020681" "SRS023005.SRX020682" "SRS022942.SRX020683" "SRS055904.SRX020683" "SRS065594.SRX020684" "SRS053920.SRX020684" "SRS058599.SRX020684" "SRS045166.SRX020685" "SRS046974.SRX020685" "SRS047712.SRX020685" "SRS045276.SRX020686" "SRS044450.SRX020686" "SRS044214.SRX020687" "SRS050152.SRX020688" "SRS048242.SRX020688" "SRS065341.SRX020689" "SRS063437.SRX020689" "SRS043392.SRX020514" "SRS058805.SRX020533" "SRS048577.SRX020514" "SRS062414.SRX020528" "SRS063935.SRX020579" "SRS046524.SRX020518" "SRS015237.SRX020535" "SRS065069.SRX020579" "SRS015303.SRX020558" "SRS024700.SRX021470" "SRS054043.SRX021470" "SRS047606.SRX021470" "SRS055927.SRX021470"
"s__aggregatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__agilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alactolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alaskensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alcaligenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alkalitolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alpinitundrae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aminovorans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amurskyense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amylolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amylovorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__anaerobius" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__anginosus" 5.39231742277876 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.58496250072116 1.58496250072116 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3.4594316186373 0 0 0 1.58496250072116 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3.16992500144231 1 5.4262647547021 0 0 0 0 1.58496250072116 0 0 0 1 0 0 5.97727992349992 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2.58496250072116 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"s__angustum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__animalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
